2024-07-16T08:11:45.710885+00:00;Fabijoniškės;24
2024-07-16T08:11:45.710885+00:00;Perkūnkiemis;26
2024-07-16T08:11:45.710885+00:00;Banginis;25
2024-07-16T08:11:45.710885+00:00;Europa;21
2024-07-16T08:11:45.710885+00:00;Vienuolis;31
2024-07-16T08:14:47.278457+00:00;Šilainiai;32
2024-07-16T08:14:47.278457+00:00;Savanoriai;36
2024-07-16T08:14:47.278457+00:00;Žalgirio arena;31
2024-07-16T08:14:47.278457+00:00;Pilaitė;16
2024-07-16T08:14:47.278457+00:00;Antakalnis;17
2024-07-16T08:14:47.278457+00:00;Fabijoniškės;24
2024-07-16T08:14:47.278457+00:00;Perkūnkiemis;26
2024-07-16T08:14:47.278457+00:00;Banginis;26
2024-07-16T08:14:47.278457+00:00;Europa;21
2024-07-16T08:14:47.278457+00:00;Vienuolis;32
2024-07-16T08:17:48.711578+00:00;Šilainiai;32
2024-07-16T08:17:48.711578+00:00;Savanoriai;35
2024-07-16T08:17:48.711578+00:00;Žalgirio arena;30
2024-07-16T08:17:48.711578+00:00;Pilaitė;16
2024-07-16T08:17:48.711578+00:00;Antakalnis;17
2024-07-16T08:17:48.711578+00:00;Fabijoniškės;25
2024-07-16T08:17:48.711578+00:00;Perkūnkiemis;26
2024-07-16T08:17:48.711578+00:00;Banginis;26
2024-07-16T08:17:48.711578+00:00;Europa;22
2024-07-16T08:17:48.711578+00:00;Vienuolis;31
2024-07-16T08:20:50.185545+00:00;Šilainiai;32
2024-07-16T08:20:50.185545+00:00;Savanoriai;36
2024-07-16T08:20:50.185545+00:00;Žalgirio arena;30
2024-07-16T08:20:50.185545+00:00;Pilaitė;16
2024-07-16T08:20:50.185545+00:00;Antakalnis;17
2024-07-16T08:20:50.185545+00:00;Fabijoniškės;23
2024-07-16T08:20:50.185545+00:00;Perkūnkiemis;26
2024-07-16T08:20:50.185545+00:00;Banginis;26
2024-07-16T08:20:50.185545+00:00;Europa;23
2024-07-16T08:20:50.185545+00:00;Vienuolis;31
2024-07-16T08:23:51.503723+00:00;Šilainiai;34
